mes,ano,sit.carga,qtde.unidades,qtde.teus,peso.bruto,peso.liquido,descricao_carga,Ano,Mes,Chuva_Total,Chuva_Max_Dia,Vento_Max_Mes,Vento_Media,Pct_Chuva,Pct_Vento,clima_valido
1,2019,D,45735,73762,841.616,690.641,Descarregada (Cais),2019,1,219.4,23.6,14.7,4.082123655913978,100.0,100.0,True
2,2019,D,45098,72909,854.888,705.529,Descarregada (Cais),2019,2,601.6,61.0,19.3,4.028869047619048,100.0,100.0,True
3,2019,D,46433,75131,847.987,694.43,Descarregada (Cais),2019,3,429.6,37.4,15.0,3.875537634408602,100.0,100.0,True
4,2019,D,52878,84841,977.237,803.295,Descarregada (Cais),2019,4,269.6,47.0,22.1,3.4141666666666666,100.0,100.0,True
5,2019,D,49444,79727,912.847,750.32,Descarregada (Cais),2019,5,297.2,24.4,16.5,3.449731182795699,100.0,100.0,True
6,2019,D,48331,77623,893.976,735.722,Descarregada (Cais),2019,6,153.0,36.2,11.5,3.0247222222222225,100.0,100.0,True
7,2019,D,57446,92340,1065.44,876.625,Descarregada (Cais),2019,7,166.0,15.6,15.8,3.4958333333333336,100.0,100.0,True
8,2019,D,54030,88179,990.603,811.163,Descarregada (Cais),2019,8,189.6,5.8,15.9,3.8262449528936746,99.86559139784946,99.86559139784946,True
9,2019,D,53269,85805,1003.44,827.876,Descarregada (Cais),2019,9,193.4,5.8,11.3,3.9779166666666654,100.0,100.0,True
10,2019,D,55308,90450,1039.78,855.862,Descarregada (Cais),2019,10,120.2,18.6,16.5,3.895430107526881,100.0,100.0,True
11,2019,D,48249,78686,898.492,738.483,Descarregada (Cais),2019,11,148.8,21.6,17.9,3.899279538904899,96.38888888888889,96.38888888888889,True
12,2019,D,45430,73987,839.986,688.904,Descarregada (Cais),2019,12,,,,,0.0,35.3494623655914,False
1,2020,D,50617,83198,939.978,769.634,Descarregada (Cais),2020,1,,,,,3.225806451612903,2.419354838709677,False
2,2020,D,43071,70107,801.106,658.053,Descarregada (Cais),2020,2,,,,,0.0,5.890804597701149,False
3,2020,D,43835,70497,813.437,669.793,Descarregada (Cais),2020,3,,,,,0.0,21.236559139784948,False
4,2020,D,50614,80956,943.167,777.503,Descarregada (Cais),2020,4,,,,,0.0,22.63888888888889,False
5,2020,D,40014,62897,770.158,639.326,Descarregada (Cais),2020,5,,,,,0.0,25.537634408602152,False
6,2020,D,31254,48982,594.369,492.855,Descarregada (Cais),2020,6,,,,,0.0,19.02777777777778,False
7,2020,D,38203,61004,722.979,596.76,Descarregada (Cais),2020,7,,,,,0.0,20.967741935483872,False
8,2020,D,40586,65497,758.637,624.131,Descarregada (Cais),2020,8,,,,,0.0,21.236559139784948,False
9,2020,D,44149,70672,846.792,701.046,Descarregada (Cais),2020,9,,,,,0.0,16.52777777777778,False
10,2020,D,50350,81406,968.329,801.538,Descarregada (Cais),2020,10,,,,,0.0,17.473118279569892,False
11,2020,D,53668,87374,1027.28,849.745,Descarregada (Cais),2020,11,,,,,0.0,18.75,False
12,2020,D,55556,90650,1058.8,874.844,Descarregada (Cais),2020,12,,,,,16.129032258064516,15.456989247311828,False
1,2021,D,51571,84924,986.587,813.267,Descarregada (Cais),2021,1,,,,,25.537634408602152,24.327956989247312,False
2,2021,D,52288,86502,985.39,812.385,Descarregada (Cais),2021,2,,,,,29.464285714285715,26.636904761904763,False
3,2021,D,61897,102401,1172.33,965.487,Descarregada (Cais),2021,3,,,,,31.451612903225808,29.70430107526882,False
4,2021,D,54891,90663,1043.02,857.827,Descarregada (Cais),2021,4,,,,,32.63888888888889,29.72222222222222,False
5,2021,D,57628,95648,1088.28,894.281,Descarregada (Cais),2021,5,,,,,29.435483870967744,27.41935483870968,False
6,2021,D,50446,83092,1039.06,869.481,Descarregada (Cais),2021,6,,,,,24.72222222222222,23.33333333333333,False
7,2021,D,54973,91276,1049.78,864.123,Descarregada (Cais),2021,7,,,,,31.85483870967742,30.241935483870968,False
8,2021,D,56327,94281,1060.09,872.249,Descarregada (Cais),2021,8,,,,,27.284946236559136,26.61290322580645,False
9,2021,D,53943,90060,1040.06,856.803,Descarregada (Cais),2021,9,,,,,27.22222222222222,26.38888888888889,False
10,2021,D,52413,87696,1005.71,828.341,Descarregada (Cais),2021,10,,,,,19.48924731182796,19.35483870967742,False
11,2021,D,54454,91716,1038.11,853.216,Descarregada (Cais),2021,11,,,,,22.77777777777778,22.5,False
12,2021,D,58070,98719,1117.54,918.048,Descarregada (Cais),2021,12,,,,,16.263440860215052,15.994623655913978,False
1,2022,D,51809,88017,974.971,801.863,Descarregada (Cais),2022,1,,,,,16.129032258064516,16.129032258064516,False
2,2022,D,52452,88364,1020.95,842.64,Descarregada (Cais),2022,2,,,,,24.25595238095238,24.25595238095238,False
3,2022,D,49897,84116,964.554,796.67,Descarregada (Cais),2022,3,,,,,61.29032258064516,61.29032258064516,False
4,2022,D,53568,90336,1018.99,837.177,Descarregada (Cais),2022,4,323.2,25.6,21.1,3.789722222222222,100.0,100.0,True
5,2022,D,55688,92614,1069.9,882.547,Descarregada (Cais),2022,5,107.0,9.8,20.6,4.090725806451613,100.0,100.0,True
6,2022,D,43303,72798,843.767,697.308,Descarregada (Cais),2022,6,134.0,8.6,17.4,3.4515277777777778,100.0,100.0,True
7,2022,D,59912,101494,1152.51,947.748,Descarregada (Cais),2022,7,53.2,3.8,17.2,3.619111709286676,99.86559139784946,99.86559139784946,True
8,2022,D,64081,108657,1248.19,1029.48,Descarregada (Cais),2022,8,119.8,6.6,27.1,4.269086021505376,100.0,100.0,True
9,2022,D,61443,104647,1201.61,990.537,Descarregada (Cais),2022,9,214.0,6.2,12.8,3.926111111111112,100.0,100.0,True
10,2022,D,64704,109542,1288.58,1066.3,Descarregada (Cais),2022,10,109.0,10.6,16.2,3.964112903225807,100.0,100.0,True
11,2022,D,53759,91737,1032.32,846.915,Descarregada (Cais),2022,11,469.4,51.6,24.8,4.182916666666666,100.0,100.0,True
12,2022,D,49848,85702,945.896,773.774,Descarregada (Cais),2022,12,323.8,32.0,18.5,3.910887096774193,100.0,100.0,True
1,2023,D,49527,83788,948.123,779.66,Descarregada (Cais),2023,1,226.8,19.4,11.2,3.661608775137112,100.0,73.52150537634408,True
2,2023,D,44328,75167,852.912,700.72,Descarregada (Cais),2023,2,592.1999999999999,61.4,,,100.0,0.0,True
3,2023,D,51257,86894,983.164,808.53,Descarregada (Cais),2023,3,190.2,34.8,,,100.0,0.0,True
4,2023,D,51710,86787,997.017,820.928,Descarregada (Cais),2023,4,214.6,27.0,,,100.0,0.0,True
5,2023,D,54154,90488,1044.85,862.563,Descarregada (Cais),2023,5,321.2,29.8,,,100.0,0.0,True
6,2023,D,46765,77790,927.307,769.454,Descarregada (Cais),2023,6,105.4,16.8,,,100.0,0.0,True
7,2023,D,53353,89634,1045.8,863.94,Descarregada (Cais),2023,7,118.2,6.6,,,100.0,0.0,True
8,2023,D,55815,95132,1075.84,882.905,Descarregada (Cais),2023,8,274.0,11.4,,,99.86559139784946,0.0,True
9,2023,D,54479,92743,1062.43,875.786,Descarregada (Cais),2023,9,84.2,7.2,,,100.0,0.0,True
10,2023,D,60584,104177,1201.06,989.507,Descarregada (Cais),2023,10,354.2,23.4,,,100.0,0.0,True
11,2023,D,51847,87880,1027.32,849.135,Descarregada (Cais),2023,11,191.6,22.0,,,99.44444444444444,24.166666666666668,True
12,2023,D,55213,94829,1088.17,895.43,Descarregada (Cais),2023,12,175.2,19.0,20.1,3.647368421052631,99.59677419354838,99.59677419354838,True
1,2024,D,56037,96436,1093.57,899.868,Descarregada (Cais),2024,1,627.4,58.6,19.3,4.231614654002714,99.05913978494624,99.05913978494624,True
2,2024,D,48985,83263,966.854,798.595,Descarregada (Cais),2024,2,192.2,14.6,14.9,3.611079136690648,99.85632183908046,99.85632183908046,True
3,2024,D,58479,99261,1154.02,952.616,Descarregada (Cais),2024,3,311.6,25.8,17.6,3.4916666666666667,100.0,100.0,True
4,2024,D,55595,93662,1106.78,918.154,Descarregada (Cais),2024,4,87.0,13.8,9.8,3.294305555555556,100.0,100.0,True
5,2024,D,56350,95774,1089.79,898.491,Descarregada (Cais),2024,5,108.8,5.2,13.2,3.828263795423957,99.86559139784946,99.86559139784946,True
6,2024,D,58964,100745,1179.95,976.377,Descarregada (Cais),2024,6,124.8,47.0,12.1,3.477905308464849,100.0,96.80555555555556,True
7,2024,D,65462,112427,1288.24,1061.93,Descarregada (Cais),2024,7,80.8,6.2,,,100.0,0.0,True
8,2024,D,63122,108664,1253.25,1034.01,Descarregada (Cais),2024,8,59.4,4.8,,,99.86559139784946,0.0,True
9,2024,D,69288,120861,1368.3,1126.11,Descarregada (Cais),2024,9,59.0,5.2,,,99.86111111111111,0.0,True
10,2024,D,74603,130098,1456.11,1204.59,Descarregada (Cais),2024,10,128.2,6.4,,,99.59677419354838,0.0,True
11,2024,D,65995,114691,1297.54,1071.66,Descarregada (Cais),2024,11,106.6,11.4,,,100.0,0.0,True
12,2024,D,68200,118538,1328.08,1094.18,Descarregada (Cais),2024,12,401.0,26.0,,,99.73118279569891,0.0,True
1,2025,D,71273,124679,1420.98,1171.06,Descarregada (Cais),2025,1,264.2,31.0,,,100.0,0.0,True
2,2025,D,64683,111431,1263.44,1040.09,Descarregada (Cais),2025,2,418.0,78.6,,,100.0,0.0,True
3,2025,D,60469,104852,1167.88,959.136,Descarregada (Cais),2025,3,17.0,1.2,,,100.0,0.0,True
4,2025,D,60910,104937,1169.51,962.131,Descarregada (Cais),2025,4,174.20000000000002,5.4,,,100.0,0.0,True
5,2025,D,63967,109841,1266.74,1047.76,Descarregada (Cais),2025,5,1.4,0.2,,,100.0,0.0,True
6,2025,D,68247,117291,1322.96,1093.57,Descarregada (Cais),2025,6,,,,,0.0,0.0,False
7,2025,D,63025,108999,1244.51,1027.04,Descarregada (Cais),2025,7,,,,,0.0,0.0,False
8,2025,D,71370,124534,1402.64,1155.29,Descarregada (Cais),2025,8,,,,,0.0,0.0,False
9,2025,D,71716,124687,1369.13,1127.92,Descarregada (Cais),2025,9,,,,,0.0,0.0,False
10,2025,D,27767,47481,378.475,314.124,Descarregada (Cais),2025,10,,,12.3,4.300986842105263,0.0,81.72043010752688,False
